Wavelength,AREF_Mean,AREF_1,AREF_2,AREF_3,AREF_4,AREF_5,AREF_6,AREF_7,AREF_8,AREF_9,AREF_10,AREF_11,AREF_12,AREF_13,AREF_14,AREF_15,AREF_16,AREF_17,AREF_18,AREF_19,AREF_20,AREF_21,AREF_22,AREF_23,AREF_24,RREF_Mean,RREF_1,RREF_2,RREF_3,RREF_4,RREF_5,RREF_6,RREF_7,RREF_8,RREF_9,RREF_10,RREF_11,RREF_12,RREF_13,RREF_14,RREF_15,RREF_16,RREF_17
0.48300001,0.3880285275,0.26385832,0.32866827,0.33745167,0.49770156,0.43104279,0.49502492,0.58544511,0.56612581,0.22839466,0.25380749,0.55435193,0.54279131,0.41643339,0.43271798,0.42015254,0.19792689,0.34873798,0.3056803,0.36807001,0.22633228,0.26492086,0.27477339,0.36096859,0.61130661,,,,,,,,,,,,,,,,,,
0.484,0.38859330374999995,0.26503542,0.32969737,0.33853537,0.49866685,0.43221563,0.49462125,0.58581102,0.56687468,0.22884072,0.25421816,0.55491382,0.54296368,0.41628247,0.43249011,0.42003495,0.19885111,0.34925735,0.30634815,0.36867651,0.22715807,0.26586908,0.27552029,0.36155,0.61180723,,,,,,,,,,,,,,,,,,
0.48500001,0.3890713675,0.26606247,0.3306644,0.33958185,0.49954495,0.43338811,0.49407312,0.5860458,0.56767195,0.22922793,0.25456411,0.55549639,0.5431965,0.41614074,0.43202618,0.41989487,0.19959126,0.34962732,0.30692795,0.36914429,0.22785808,0.26666149,0.27616081,0.36198905,0.6121732,,,,,,,,,,,,,,,,,,
0.486,0.3894847929166667,0.26708221,0.33170915,0.34063157,0.50042629,0.4345547,0.49353984,0.58620256,0.5683344,0.22939295,0.25498158,0.55600452,0.54334521,0.41584674,0.43147552,0.41960379,0.20021026,0.34993371,0.30750954,0.36949924,0.22844088,0.26730537,0.27676412,0.36235404,0.61248684,,,,,,,,,,,,,,,,,,
0.48699999,0.38992705208333334,0.2682035,0.33292359,0.34170547,0.50137043,0.43578681,0.49315381,0.58635074,0.56901509,0.22958802,0.2555106,0.55655807,0.54357243,0.41555586,0.43103069,0.41936979,0.20076787,0.35024872,0.30813456,0.3697513,0.22890374,0.26783147,0.27738309,0.36271095,0.61282265,,,,,,,,,,,,,,,,,,
0.48800001,0.39043499666666664,0.26946208,0.33435065,0.34281132,0.5023883,0.43707988,0.49297145,0.5865649,0.56976253,0.2299352,0.25610188,0.55718219,0.54384446,0.41537327,0.43082023,0.41925821,0.20130137,0.35060418,0.30878246,0.36991677,0.22925346,0.26828572,0.27802837,0.3631323,0.61322874,,,,,,,,,,,,,,,,,,
0.48899999,0.39099592,0.27083647,0.33600304,0.34395418,0.50346184,0.43842804,0.49296668,0.58690661,0.57051343,0.23035495,0.25668576,0.55784982,0.54405457,0.41528264,0.43087006,0.41921157,0.20181847,0.35098734,0.30938664,0.37004071,0.22951539,0.26869744,0.2786606,0.36368999,0.61372584,,,,,,,,,,,,,,,,,,
0.49000001,0.39159304916666676,0.27229023,0.3378531,0.34514299,0.50456977,0.4398697,0.49306601,0.58739483,0.57133967,0.23095651,0.25723165,0.55836296,0.54423881,0.41520941,0.43114179,0.41909945,0.2023018,0.35135648,0.30987382,0.37019098,0.22971919,0.2690596,0.27921429,0.36443189,0.61431825,,,,,,,,,,,,,,,,,,
0.491,0.39223162875,0.27379951,0.33980799,0.34639448,0.50569922,0.44132289,0.4931986,0.58798724,0.57227796,0.23176131,0.25775555,0.55891049,0.54453582,0.41520843,0.43157294,0.41909382,0.20272242,0.35166737,0.31019971,0.37042141,0.22988237,0.26934159,0.27964208,0.36535701,0.61499888,,,,,,,,,,,,,,,,,,
0.49200001,0.39290133875,0.27535939,0.34173894,0.34774345,0.50685191,0.4427633,0.49334148,0.58860683,0.57328224,0.2326858,0.25830948,0.55961126,0.54493916,0.41530749,0.43207723,0.41927019,0.20306294,0.35191056,0.31036404,0.37074316,0.2300206,0.26952362,0.27995035,0.36641738,0.61575133,,,,,,,,,,,,,,,,,,
0.493,0.39355779666666674,0.27698854,0.34357792,0.34925437,0.50805199,0.44420722,0.4935548,0.58920342,0.57423145,0.23353951,0.25900099,0.56021827,0.54517221,0.41532087,0.43255115,0.4193241,0.20333685,0.35215527,0.31041509,0.37114403,0.2301795,0.26962683,0.28020516,0.3675648,0.61656278,,,,,,,,,,,,,,,,,,
0.49399999,0.3943085804166668,0.27874362,0.34540129,0.35101917,0.5093472,0.44571266,0.49399152,0.58979398,0.57528293,0.23465909,0.26002204,0.56082839,0.54543716,0.41550925,0.43294075,0.41950104,0.20358787,0.35256976,0.31045702,0.37164617,0.23045085,0.26971921,0.28050831,0.36882445,0.6174522,,,,,,,,,,,,,,,,,,
0.495,0.39526802541666656,0.28072369,0.3474054,0.35312939,0.51079094,0.44736499,0.49485189,0.59044152,0.57648277,0.23619674,0.26161876,0.56149644,0.5458504,0.41596037,0.4333266,0.41993135,0.20387307,0.3533788,0.31064007,0.37234491,0.23094916,0.26989123,0.28096068,0.37033376,0.61848968,,,,,,,,,,,,,,,,,,
