Wavelength,AREF_Mean,AREF_1,AREF_2,AREF_3,AREF_4,AREF_5,AREF_6,AREF_7,AREF_8,AREF_9,AREF_10,AREF_11,AREF_12,AREF_13,AREF_14,AREF_15,AREF_16,AREF_17,AREF_18,AREF_19,AREF_20,RREF_Mean,RREF_1,RREF_2,RREF_3,RREF_4,RREF_5,RREF_6,RREF_7,RREF_8,RREF_9,RREF_10,RREF_11,RREF_12,RREF_13
0.85799998,0.6650336184999999,0.65300763,0.71406043,0.50307852,0.82564807,0.78030157,0.84828377,0.70189184,0.63224691,0.59561968,0.60594696,0.74049753,0.65131563,0.7655831,0.78250331,0.61033702,0.52726996,0.59781909,0.51401299,0.5914346,0.65981376,,,,,,,,,,,,,,
0.85900003,0.6648422204999999,0.65273219,0.71393394,0.50292969,0.82551354,0.78022325,0.8481456,0.70164478,0.63214397,0.5954904,0.60590607,0.74000508,0.65094268,0.76535952,0.78245974,0.61027098,0.52695721,0.59748554,0.51379877,0.59110743,0.65979403,,,,,,,,,,,,,,
0.86000001,0.6646629035,0.65248239,0.71384197,0.50280917,0.82538289,0.78005183,0.8480224,0.70135647,0.63205308,0.59536433,0.60586226,0.73964667,0.65058917,0.7650798,0.78244853,0.6101914,0.52666897,0.59722382,0.51362258,0.59090614,0.6596542,,,,,,,,,,,,,,
0.861,0.6644890250000002,0.65225697,0.71378142,0.50271487,0.82526308,0.77979618,0.84789866,0.70103401,0.6319434,0.59524351,0.6058231,0.73941088,0.65025592,0.76475155,0.78246486,0.61010385,0.52637041,0.59702313,0.51341492,0.59082073,0.65940905,,,,,,,,,,,,,,
0.86199999,0.66431958,0.65205437,0.71374917,0.50264233,0.82515001,0.77947122,0.84777242,0.70068729,0.63183117,0.59512937,0.60579216,0.73927724,0.64994341,0.76438522,0.78250313,0.61001509,0.52605522,0.59686905,0.51315248,0.59083289,0.65907836,,,,,,,,,,,,,,
0.86299998,0.664158345,0.65187299,0.71374202,0.50258714,0.82504052,0.77909225,0.84764707,0.70032573,0.63172108,0.59502381,0.60576636,0.73922551,0.6496523,0.76399106,0.78255785,0.60993022,0.52575988,0.5967471,0.51287758,0.59092414,0.65868229,,,,,,,,,,,,,,
0.86400002,0.664005861,0.65171146,0.7137568,0.5025447,0.82493269,0.77867424,0.84752852,0.69995928,0.63160634,0.59492797,0.60573876,0.73923546,0.64938313,0.76357937,0.78262353,0.60985196,0.52548343,0.59664303,0.51261991,0.59107602,0.65824062,,,,,,,,,,,,,,
0.86500001,0.663860343,0.65156811,0.71379018,0.50251067,0.82482952,0.77823246,0.84741795,0.69959742,0.63148677,0.59484375,0.60571975,0.73928678,0.64913636,0.76316047,0.78269452,0.6097765,0.52520543,0.5965423,0.51236457,0.59127015,0.6577732,,,,,,,,,,,,,,
0.866,0.663721782,0.65144145,0.71383923,0.50248063,0.82472664,0.77778178,0.84731513,0.6992498,0.63137329,0.59477258,0.60570407,0.73935914,0.64891273,0.76274467,0.78276545,0.60970259,0.52495474,0.59643042,0.51209301,0.59148818,0.65730011,,,,,,,,,,,,,,
0.86699998,0.6635832165,0.65132987,0.71390039,0.50244993,0.82462305,0.77733755,0.8472206,0.69892615,0.63127226,0.59471601,0.60568595,0.7394321,0.64871269,0.7623421,0.78283054,0.60961956,0.52467179,0.59629315,0.51174796,0.59171152,0.65684116,,,,,,,,,,,,,,
