Wavelength,Acmite,Actinolite,Adularia,Albite,Allanite,Almandine,Alunite,Ammonio-Illite-Smect,Ammonio-Jarosite,Ammonio-Smectite,Amphibole,Analcime,Ancylite,Andalusite,Andesine,Andradite,Anhydrite,Annite,Anorthite,Anthophyllite,Antigorite,Aragonite,Arsenopyrite,Augite,Axinite,Azurite,Barite,Bassanite,Bastnaesite,Beidellite,Beryl,Biotite,Bloedite,Bronzite,Brookite,Brucite,Buddingtonite,Butlerite,Bytownite,Calcite,Carbon,Carnallite,Cassiterite,Celestite,Chalcedony,Chalcopyrite,Chert,Chlorapatite,Chlorite,Chromite,Chrysocolla,Chrysotile,Cinnabar,Clinochlore,Clinoptilolite,Clintonite,Colemanite,Cookeite,Copiapite,Coquimbite,Corrensite,Corundum,Cronstedtite,Cummingtonite,Cuprite,Datolite,Diaspore,Dickite,Diopside,Dipyre,Dolomite,Dumortierite,Elbaite,Endellite,Enstatite,Epidote,Epsomite,Eugsterite,Fassaite,Ferrihydrite,Fluorapatite,Forsterite,Galena,Gaylussite,Gibbsite,Glauconite,Glaucophane,Goethite,Grossular,Gypsum,Halite,Halloysite,Hectorite,Hedenbergite,Hematite,Heulandite,Hornblende,Howlite,Hydrogrossular,Hydroxyl-Apatite,Hypersthene,Illite,Ilmenite,Jadeite,Jarosite,Kainite,Kaolinite,Karpatite,Kieserite,Knebelite,Labradorite,Laumontite,Lazurite,Lepidocrocite,Lepidolite,Limonite,Lizardite,Maghemite,Magnetite,Malachite,Margarite,Marialite,Mascagnite,Meionite,Microcline,Mirabilite,Mizzonite,Monazite,Monticellite,Montmorillonite,Mordenite,Muscovite,Nacrite,Nanohematite,Natrolite,Nepheline,Nephrite,Niter,Nontronite,Oligoclase,Olivine,Opal,Orthoclase,Palygorskite,Paragonite,Parisite,Pectolite,Perthite,Phlogopite,Pigeonite,Pinnoite,Pitch,Polyhalite,Portlandite,Prehnite,Prochlorite,Psilomelane,Pyrite,Pyrolusite,Pyromorphite,Pyrophyllite,Pyroxene,Pyroxmangite,Pyrrhotite,Quartz,Rectorite,Rhodochrosite,Rhodonite,Richterite,Riebeckite,Rivadavite,Roscoelite,Rutile,Sanidine,Saponite,Sauconite,Schwertmannite,Scolecite,Sepiolite,Serpentine,Siderite,Siderophyllite,Smaragdite,Sodium,Spessartine,Sphalerite,Sphene,Spodumene,Staurolite,Stilbite,Strontianite,Sulfur,Syngenite,Talc,Thenardite,Thuringite,Tincalconite,Topaz,Tourmaline,Tremolite,Trona,Ulexite,Uralite,Uvarovite,Vermiculite,Vesuvianite,Witherite,Wollastonite,Xenotime,Zircon,Zoisite,Zunyite
0.34999999,0.041597307,,,,,,,,,0.25330538,,,,,,0.13633847,,0.027409123,,,,,,,,0.037788149,,,,,0.45548171,0.075631,,,,,0.1645446,,,,,,,,,,,,,,,,,,,0.10887497,,,,0.018316099,,,,,,,,,,0.28479651,,0.42632514,,,,,,,0.082816474,0.013204881,,,,,,,,,,,,0.52183831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53948665,,,,,,,,,0.59235173,0.052451421,,,,,,0.72521394,,,,0.21478863,0.30458966,,0.32276425,,0.2177007,,,0.026818546,,,,,,,,,0.60392296,,0.25512162,,,,,,,0.032282662,,0.21400325,,,,,0.0074963882,,,,,,,,,,0.075451687,,,,,,,,,0.064355724,,,,,,,,,,,,,,0.21416281,,0.45036179
0.35100001,0.04163589,0.33101472,,0.49619326,0.036243159,0.24399436,,,,0.2544986,,,0.19635083,,0.42473817,0.13903184,,0.02744009,,0.54016924,0.13817391,0.66748106,0.081451379,,0.62144572,0.038006276,,,0.18566079,0.38063395,0.45754975,0.075476915,,0.38004735,0.091631062,0.55991042,0.16602805,,0.48997718,0.79973865,0.020908551,0.46031907,0.065626323,0.71969247,0.33541122,0.019450489,,0.39510089,0.2135108,0.039892208,0.18436249,0.79222006,,0.069307469,,0.10968586,,,,0.018489562,,0.50657922,,0.086283244,0.019770555,0.69535321,0.30839971,0.40966699,0.46053219,0.28742388,0.73680705,0.42887717,,,,0.037728094,,,0.08406502,0.013190992,0.085227646,0.42213139,0.014413269,,0.40987769,0.085426435,0.19533896,0.019056318,,0.68074119,0.40786636,0.52314615,,0.064082898,,,,,,,,0.14068848,0.054602478,0.38637444,,,,,0.36950985,0.12038194,0.45463032,,0.36069289,,0.46953195,,,,0.051748633,0.05868781,,,,0.54136747,0.50743109,,,0.19003411,0.48491013,,,,0.59327328,0.052516565,0.53471971,0.73028046,0.35219428,,0.056439433,0.72832131,,0.59675962,,0.21682487,0.30604383,0.031027367,0.32818374,0.63488632,0.21991159,0.17717816,,0.027187543,,0.46450916,0.34082547,,,0.025603967,0.059363548,0.046444345,0.60572314,0.24320157,0.2586267,0.021714559,,,,,0.14650026,0.032612529,,0.21447472,,,,,0.007529628,,,0.22244169,0.026287861,,0.42683101,,,,0.075523093,0.52267742,0.20544599,,0.73814011,,,,,0.064416975,,,,0.75327098,,,0.46535143,,,0.28772885,0.65857053,0.62787241,0.084490478,0.21524878,0.47810224,0.4503822
0.352,0.041651241,0.33250889,,0.50236166,0.036896255,0.24621007,,,,0.25568691,,,0.1955204,,0.42722052,0.14174119,,0.027540425,,0.54052305,0.13965391,0.66589457,0.081669532,,0.62513685,0.038211726,,,0.18639337,0.38258949,0.45963395,0.075349487,,0.3812927,0.092888005,0.55280346,0.1674965,,0.49124631,0.79986185,0.020257125,0.46328825,0.064567655,0.71522009,0.33448294,0.017723776,,0.39111006,0.21285047,0.038166136,0.18273121,0.79185522,,0.069619149,,0.11052717,,,,0.018691963,,0.50681877,,0.091290034,0.021396907,0.69938558,0.31285191,0.41338131,0.46192735,0.29008868,0.73618066,0.43136981,,,,0.037837081,,,0.085335493,0.013195181,0.083224192,0.42261451,0.014476277,,0.41384846,0.084712856,0.19773708,0.018860564,,0.68772084,0.41204092,0.52452916,,0.063171573,,,,,,,,0.14181595,0.06344483,0.38246828,,,,,0.36414161,0.12484218,0.45613846,,0.36762866,,0.47775263,,,,0.051658016,0.056789652,,,,0.54326415,0.51243418,,,0.18900423,0.48086539,,,,0.5942331,0.052576143,0.54234046,0.73075688,0.34689108,,0.057375867,0.73135829,,0.59786934,,0.21890393,0.30745107,0.032409985,0.33370987,0.63521242,0.22216782,0.18140283,,0.027552944,,0.4653036,0.34259629,,,0.026712611,0.058459658,0.043220948,0.60746396,0.24265893,0.26197124,0.020183884,,,,,0.14626278,0.033011422,,0.21494041,,,,,0.0075640907,,,0.22066754,0.022643136,,0.42861956,,,,0.075652324,0.51539165,0.20918545,,0.73834395,,,,,0.064344965,,,,0.75519782,,,0.46176353,,,0.29365382,0.66141188,0.62858033,0.08302746,0.21635748,0.47951692,0.45042765
0.35299999,0.041645598,0.33507207,,0.4892236,0.036794148,0.24778076,,,,0.25686371,,,0.19542538,,0.42827699,0.14448178,,0.027720517,,0.53975803,0.14093669,0.66404343,0.082136765,,0.62917787,0.038393471,,,0.18877111,0.38433412,0.46170595,0.075256914,,0.38316247,0.093636461,0.54545927,0.16895418,,0.49215701,0.80005091,0.02062431,0.46233168,0.064298563,0.70748574,0.33354181,0.011645853,0.51326722,0.38694721,0.2137831,0.030920517,0.16845304,0.79157144,,0.069979474,,0.11139766,,,,0.018950863,,0.51342022,,0.097553983,0.021994816,0.69783616,0.31887695,0.41698515,0.46342391,0.29270667,0.73578674,0.4337413,,,,0.037953842,,,0.086655907,0.013220807,0.081934176,0.41996875,0.016006712,,0.41356182,0.098651752,0.19595076,0.018665664,,0.69220978,0.40431714,0.52600014,,0.062196292,,,,,,,,0.14276084,0.067820571,0.3830286,,,,,0.37526897,0.1316355,0.45870173,,0.3704713,,0.4989768,,,,0.051708374,0.049497101,,,,0.5451774,0.52645445,,,0.1874541,0.47922966,,,,0.59522259,0.052632421,0.55204868,0.73112714,0.33454022,,0.058391243,0.7342813,,0.59904087,,0.2209959,0.3087993,0.031850856,0.33931792,0.63619637,0.22441171,0.1728261,,0.027911991,,0.46613404,0.34466878,,,0.028216664,0.059497923,0.042970181,0.60912174,0.24821876,0.26486221,0.014789796,,,,,0.14792541,0.03345263,,0.21540764,,,,,0.0075980038,,,0.22082847,0.021924097,,0.43243724,,,,0.075850286,0.50456882,0.23128483,,0.73824596,,,,,0.064201877,,,,0.75733769,,,0.4612135,,,0.28132582,0.66161293,0.62110507,0.08211565,0.21745566,0.47402051,0.45047367
0.354,0.0416237,0.33661407,,0.48034838,0.036879692,0.25001863,,,,0.25802812,,,0.19387333,,0.42791936,0.14725976,,0.027977541,,0.53997344,0.14230289,0.66227037,0.082596309,,0.63285816,0.038546573,,,0.1867312,0.38597411,0.46374705,0.075197704,,0.38601863,0.094074808,0.55165797,0.17040792,,0.4936741,0.80037367,0.020670887,0.45852274,0.065058187,0.70855933,0.33248278,0.013681447,0.51369792,0.38629982,0.21676084,0.04198971,0.17208624,0.7913537,,0.07043723,,0.11228786,,,,0.019291135,,0.51180756,,0.10032552,0.016334536,0.69659454,0.31805372,0.42005527,0.46648324,0.29519776,0.73551255,0.43593723,,,,0.038013604,,,0.088049173,0.013265962,0.083415188,0.42326304,0.019156126,,0.40584558,0.10617711,0.19011205,0.018472543,,0.68979549,0.39912799,0.52756494,,0.064202249,,,,,,,,0.14291684,0.066431329,0.38291195,,,,,0.37744868,0.1297276,0.4594726,,0.36894593,,0.48241189,,,,0.051591717,0.058134612,,,,0.54709309,0.53001207,,,0.18675992,0.47788808,,,,0.59623915,0.05268909,0.54691148,0.73310983,0.33866465,,0.059349015,0.73705769,,0.59993333,,0.22306156,0.310074,0.031794652,0.34498444,0.63704062,0.22659411,0.1680837,,0.028268563,,0.46703759,0.34720808,,,0.028772835,0.059791911,0.041583747,0.61068588,0.25713405,0.26709822,0.016325803,,,,,0.14843169,0.033899315,,0.21588339,,,,,0.0076329373,,,0.21651658,0.023180053,,0.43107003,,,,0.076113269,0.50855088,0.225787,,0.73913896,,,,,0.064061746,,,,0.75819421,,,0.46135327,,,0.2777718,0.65581381,0.6236099,0.082797587,0.21851701,0.48251241,0.45049682
0.35499999,0.041592609,0.33856389,,0.48741323,0.037961241,0.25323793,,,,0.25918567,,,0.19330041,,0.42872795,0.15006886,,0.028296923,,0.54114658,0.14322104,0.66112936,0.08297234,,0.63716233,0.038675755,,,0.18427022,0.38761783,0.46575284,0.075164258,,0.38873181,0.094248675,0.55716223,0.17186528,,0.49610949,0.80085766,0.020140445,0.46230349,0.066806637,0.71107918,0.33120421,0.012777604,0.51425886,0.38368908,0.21893828,0.041493636,0.17388633,0.79138589,,0.07100977,,0.11318361,,,,0.019728357,,0.50731438,,0.098723225,0.021426072,0.7014572,0.32001546,0.42314869,0.46919695,0.29750752,0.73514009,0.43793193,,,,0.038220845,,,0.089523837,0.013323586,0.082893722,0.42440972,0.0200973,,0.40915024,0.10604295,0.19717063,0.018284502,,0.68673354,0.40457803,0.52921778,,0.065875046,,,,,,,,0.14353725,0.057063933,0.38305172,,,,,0.37924916,0.13068712,0.46024004,,0.37415448,,0.46899015,,,,0.051256578,0.066241063,,,,0.54898989,0.52631903,,,0.18908538,0.47866535,,,,0.59728992,0.052750461,0.53877211,0.73477173,0.33914602,,0.060278632,0.73967421,,0.60049796,,0.22506638,0.31126285,0.031426262,0.35069466,0.63577563,0.22868973,0.17010485,,0.028632648,,0.46803495,0.35013822,,,0.028371276,0.060025856,0.04009239,0.61216539,0.25443962,0.26861233,0.015866499,,,,,0.14876647,0.034314178,,0.21637458,,,,,0.0076728892,,,0.21917991,0.022553319,,0.43183276,,,,0.076424427,0.51715755,0.21036206,,0.73983961,,,,,0.063971162,,,,0.75898361,,,0.46040511,,,0.28929558,0.65368563,0.6303646,0.082135871,0.21952942,0.49378833,0.45048362
0.35600001,0.041560385,0.34119657,,0.49562085,0.039124735,0.25619122,,,,0.26034746,,,0.19265303,,0.43109149,0.15289333,,0.028658107,,0.54223222,0.14456394,0.66061163,0.080716029,,0.64173687,0.038793601,,,0.18410514,0.39064911,0.46772915,0.075147428,,0.39069277,0.093503028,0.55448532,0.17333256,,0.49852347,0.80136466,0.020914529,0.46915856,0.067880817,0.70910895,0.33143562,0.012728983,0.51494205,0.38096601,0.214697,0.029714808,0.1689444,0.79184014,,0.071588337,,0.11407187,,,,0.020268166,,0.50698072,,0.095777541,0.025081145,0.70789993,0.32622451,0.4263317,0.47087523,0.29961902,0.73579299,0.43973407,,,,0.038210351,,,0.09107092,0.013384271,0.081007138,0.42534754,0.021037526,,0.41847056,0.10316762,0.20965879,0.018114196,,0.68695259,0.41211143,0.53093934,,0.065821201,,,,,,,,0.14399378,0.054621011,0.38396552,,,,,0.38297847,0.13609457,0.46177971,,0.38254559,,0.47433707,,,,0.051754247,0.064034544,,,,0.55084813,0.52287501,,,0.19035363,0.48096678,,,,0.59839237,0.052820314,0.53689528,0.73545301,0.33309749,,0.061148435,0.74213427,,0.60094142,,0.22699031,0.31235832,0.030588701,0.35644636,0.63397151,0.23069979,0.17321637,,0.029016137,,0.4690786,0.35289493,,,0.026517911,0.060549021,0.038932297,0.61358595,0.24703668,0.26946554,0.016133724,,,,,0.14947954,0.034669716,,0.21688734,,,,,0.0077210353,,,0.22545798,0.020619564,,0.4347977,,,,0.07676059,0.51799619,0.20692369,,0.74019212,,,,,0.063936993,,,,0.76029795,,,0.45954695,,,0.30056116,0.65611535,0.63350368,0.081928037,0.22049516,0.49767944,0.4504346
0.35699999,0.041534457,0.34366459,,0.48583469,0.039132498,0.25767577,,,,0.26152715,,,0.19131616,,0.43364665,0.15571228,,0.029039234,,0.54248673,0.14622581,0.66013098,0.081290483,,0.64551091,0.038915347,,,0.18570025,0.39189911,0.46968117,0.075139463,,0.3915672,0.094048485,0.54749978,0.17481291,,0.49998921,0.80171537,0.020780344,0.46761578,0.065173119,0.70331645,0.33272183,0.015366047,0.51572323,0.37985757,0.19349892,0.032013673,0.17519203,0.79209739,,0.072032526,,0.11494408,,,,0.020910025,,0.51122695,,0.09275388,0.022023803,0.70972657,0.32614407,0.42977473,0.47233135,0.30154988,0.73658687,0.44137603,,,,0.038148034,,,0.092666507,0.013439707,0.079415999,0.42801896,0.021675022,,0.41427949,0.092838883,0.20931917,0.017976675,,0.68994737,0.41030517,0.53269595,,0.065361954,,,,,,,,0.14447545,0.066527031,0.38557231,,,,,0.37693676,0.13118869,0.46301463,,0.37878624,,0.46854928,,,,0.051491469,0.056139421,,,,0.55265361,0.52015471,,,0.18343778,0.48419777,,,,0.59957165,0.052901048,0.53810161,0.73632538,0.33852574,,0.062024727,0.74444795,,0.60142374,,0.22882828,0.31335777,0.029762741,0.36224404,0.63344187,0.23264152,0.17463124,,0.029427737,,0.47010407,0.3555128,,,0.026042977,0.060222704,0.038026631,0.61497986,0.25188702,0.26980889,0.018425133,,,,,0.14935894,0.034953255,,0.21742508,,,,,0.0077765724,,,0.22345637,0.01992302,,0.43240276,,,,0.077099547,0.50834286,0.21739358,,0.74173564,,,,,0.063942619,,,,0.76124108,,,0.46154103,,,0.29802498,0.65705425,0.63560349,0.082517289,0.22142453,0.49582615,0.45036235
0.35800001,0.041520093,0.34489077,,0.48017624,0.038779933,0.25909522,,,,0.26273933,,,0.18978988,,0.43622312,0.15850455,,0.029419493,,0.54350853,0.14777555,0.65936977,0.083258227,,0.64874631,0.039053723,,,0.18460505,0.39248917,0.47160354,0.075135298,,0.39413807,0.095246688,0.54626215,0.17630613,,0.50148416,0.80178541,0.020234099,0.46666777,0.067052938,0.70167834,0.33431086,0.013459989,0.51656735,0.38079244,0.19146506,0.039525144,0.17772684,0.79195607,,0.072243951,,0.11579687,,,,0.021652188,,0.51435989,,0.092205651,0.026451394,0.70940161,0.33579987,0.43353492,0.47461984,0.30334261,0.73680103,0.44289958,,,,0.038220778,,,0.094279125,0.013485217,0.08015883,0.42840341,0.021820931,,0.41353524,0.097838566,0.20844445,0.017878374,,0.68882799,0.41115075,0.53444201,,0.066420741,,,,,,,,0.1451477,0.061372738,0.38441709,,,,,0.37771043,0.1425622,0.46354577,,0.38636845,,0.47493204,,,,0.051180165,0.05365286,,,,0.55439889,0.51752532,,,0.18162592,0.48359066,,,,0.60085613,0.052993368,0.53876168,0.73742986,0.34217456,,0.062941775,0.7466253,,0.60201532,,0.23058724,0.31426257,0.030191163,0.36809325,0.6352818,0.23453601,0.17375912,,0.029870257,,0.47106516,0.35785058,,,0.026470123,0.060572743,0.036657553,0.61637551,0.2557739,0.26983961,0.016875239,,,,,0.14970744,0.035167187,,0.21798678,,,,,0.0078339372,,,0.2199091,0.021146873,,0.43214899,,,,0.077425599,0.50456023,0.21917842,,0.74235797,,,,,0.063969932,,,,0.76269799,,,0.4616091,,,0.29746395,0.65613484,0.63181394,0.081417538,0.22232871,0.49660465,0.45028573
0.359,0.041519362,0.34611341,,0.48426229,0.039471004,0.26181537,,,,0.2639977,,,0.1888739,,0.43737236,0.16125031,,0.029780088,,0.54443169,0.14847714,0.65891701,0.08362063,,0.65200841,0.039215751,,,0.18516085,0.39437324,0.4734762,0.075132914,,0.3974064,0.09579584,0.55051309,0.17780878,,0.503102,0.80166423,0.020354679,0.46687344,0.07055968,0.70484138,0.33592612,0.012142301,0.51743722,0.37968296,0.20069328,0.041502357,0.17887327,0.79262823,,0.072291665,,0.11662994,,,,0.022494866,,0.51552504,,0.093700841,0.028002178,0.70992094,0.3414636,0.43733576,0.4772073,0.3050499,0.73704207,0.44434264,,,,0.03824304,,,0.095878243,0.013520611,0.079941459,0.42985114,0.022877658,,0.41512468,0.10762148,0.20864968,0.017791297,,0.68707335,0.41361728,0.53612626,,0.068265535,,,,,,,,0.14572899,0.059691403,0.38574475,,,,,0.38166463,0.15043093,0.46429139,,0.3936179,,0.48294756,,,,0.052701596,0.055654805,,,,0.55608273,0.51714134,,,0.18415093,0.48410186,,,,0.60227275,0.053096414,0.5373891,0.73861271,0.34267652,,0.063767277,0.74867308,,0.60257894,,0.23228145,0.31507659,0.03064999,0.37399325,0.63670564,0.23639873,0.1753379,,0.030340841,,0.4719865,0.35955858,,,0.027473757,0.060690649,0.035817627,0.61778921,0.25542742,0.2697593,0.015549116,,,,,0.15003213,0.035325292,,0.2185661,,,,,0.0078849681,,,0.22006914,0.021603333,,0.43482187,,,,0.077732414,0.50715154,0.21429293,,0.74230218,,,,,0.064011,,,,0.76425952,,,0.46360615,,,0.30067381,0.65606248,0.62761146,0.082589477,0.22321419,0.50143272,0.45022306
