Wavelength,AREF_Mean,AREF_1,AREF_2,AREF_3,AREF_4,AREF_5,AREF_6,AREF_7,AREF_8,AREF_9,AREF_10,AREF_11,AREF_12,RREF_Mean,RREF_1,RREF_2,RREF_3,RREF_4,RREF_5,RREF_6,RREF_7,RREF_8
1.927,0.2983631283333333,0.36637348,0.78746057,0.12732597,0.12929715,0.16905425,0.21448295,0.27907506,0.36696687,0.41924676,0.15199238,0.1250663,0.4440158,0.23148794,0.12721808,0.14106354,0.16301161,0.21415563,0.26622841,0.3858906,0.43274662,0.12158903
1.928,0.2983952708333333,0.36647826,0.78751975,0.12755311,0.12922321,0.16908118,0.21445607,0.27899027,0.36711496,0.41980806,0.15205579,0.12479032,0.44367227,0.23159238125,0.1272912,0.14111535,0.16311879,0.2142632,0.26639599,0.38606253,0.43285325,0.12163874
1.929,0.29843741916666666,0.36659336,0.78770757,0.12778932,0.12919299,0.169149,0.21439245,0.27888364,0.36721027,0.42041695,0.15211914,0.12448259,0.44331175,0.23169561250000004,0.1273623,0.14116664,0.16322401,0.21437144,0.26656625,0.38623399,0.43295473,0.12168554
1.9299999,0.2984884641666667,0.36671531,0.7879988,0.12802835,0.12919874,0.16925457,0.21430223,0.27877089,0.36726466,0.42105165,0.15216003,0.12416603,0.44295031,0.2317980575,0.12743138,0.14121816,0.16332702,0.21448092,0.26673916,0.3864055,0.43305272,0.1217296
1.931,0.2985509216666667,0.3668406,0.7883662,0.12826385,0.12923174,0.16939415,0.21419621,0.27866873,0.36729112,0.42168942,0.15219997,0.12386468,0.44260439,0.23190025749999998,0.12749875,0.14127059,0.1634281,0.21459194,0.26691434,0.38657737,0.43314952,0.12177145
1.932,0.2986229633333334,0.36696559,0.7887817,0.1284893,0.129283,0.16956364,0.21408528,0.27859375,0.36730275,0.42230713,0.15221033,0.12360263,0.44229046,0.23200268749999997,0.12756488,0.14132456,0.16352786,0.21470451,0.26709074,0.38674966,0.43324745,0.12181184
1.933,0.2987071733333333,0.36708689,0.78921789,0.12869839,0.12934391,0.16975874,0.21398005,0.27856141,0.3673121,0.42288271,0.15221766,0.12340237,0.44202396,0.23210574375,0.12763026,0.14138046,0.16362712,0.21481855,0.2672672,0.38692224,0.43334863,0.12185149
1.934,0.2988044083333333,0.36720172,0.78964949,0.12888528,0.12940684,0.169975,0.21389014,0.27858466,0.36733022,0.42339656,0.15223199,0.12328291,0.44181809,0.23220971375,0.12769546,0.1414385,0.16372666,0.21493378,0.26744255,0.38709506,0.43345469,0.12189101
1.9349999,0.29891366583333334,0.36730811,0.7900542,0.12904467,0.12946574,0.17020756,0.21382368,0.27867198,0.36736572,0.4238328,0.15224944,0.12325748,0.44168261,0.23231469999999999,0.12776081,0.14149863,0.16382699,0.21504983,0.26761582,0.38726807,0.43356669,0.12193076
1.936,0.2990354116666667,0.36740535,0.79041451,0.12917221,0.12951688,0.17045122,0.21378671,0.27882618,0.36742371,0.42418104,0.15229349,0.12333138,0.44162226,0.2324207175,0.12782651,0.1415606,0.16392832,0.21516639,0.26778656,0.38744131,0.43368524,0.12197081
1.937,0.2991666075,0.36749411,0.79071772,0.12926453,0.12955895,0.17070019,0.21378295,0.27904341,0.36750564,0.42443675,0.15235738,0.12350119,0.44163647,0.23252760750000004,0.12789245,0.1416239,0.1640304,0.21528307,0.26795462,0.38761485,0.43381053,0.12201104
1.938,0.29930148083333336,0.36757615,0.79095578,0.12931916,0.12959285,0.17094825,0.21381404,0.27931401,0.36760938,0.42460063,0.15241221,0.12375551,0.4417198,0.232635125,0.12795825,0.14168791,0.16413282,0.21539956,0.26812038,0.38778862,0.43394232,0.12205114
1.939,0.29943562,0.36765432,0.79112393,0.12933427,0.12962119,0.17118895,0.21388005,0.27962402,0.3677305,0.42467752,0.15245226,0.12407722,0.44186321,0.23274296999999997,0.12802337,0.14175199,0.16423504,0.21551566,0.26828438,0.3879624,0.43408006,0.12209086
1.9400001,0.2995656725,0.36773184,0.79121929,0.12930848,0.12964752,0.17141558,0.21398018,0.27995688,0.36786288,0.42467439,0.15248993,0.12444564,0.44205546,0.23285078375000004,0.12808712,0.14181544,0.16433658,0.21563105,0.26844728,0.3881357,0.43422303,0.12213007
1.941,0.299686815,0.36781222,0.79124033,0.12924068,0.12967584,0.17162138,0.21411306,0.28029481,0.36799985,0.42459959,0.15252109,0.12483852,0.44228441,0.23295814125,0.12814882,0.14187767,0.16443714,0.21574537,0.26860958,0.38830754,0.43437016,0.12216885
1.942,0.2997951641666667,0.36789894,0.79118627,0.12913004,0.12971021,0.17179984,0.21427712,0.28062019,0.36813465,0.42446178,0.15255162,0.1252335,0.44253781,0.23306467124999997,0.12820789,0.14193815,0.16453676,0.21585816,0.26877159,0.38847694,0.4345203,0.12220758
1.943,0.29988667583333334,0.36799508,0.79105753,0.12897642,0.12975438,0.17194486,0.21447045,0.28091606,0.36826083,0.42426977,0.15258159,0.12560901,0.44280413,0.23316996125,0.12826386,0.14199641,0.16463564,0.21596873,0.26893342,0.38864261,0.43467221,0.12224681
1.944,0.2999581908333333,0.36810309,0.79085696,0.12878087,0.12981139,0.17205141,0.21469072,0.28116783,0.36837304,0.42403233,0.15261123,0.12594597,0.44307345,0.233273645,0.12831643,0.14205205,0.16473421,0.21607642,0.26909491,0.38880339,0.43482459,0.12228716
1.9450001,0.30000703999999995,0.36822405,0.790591,0.12854652,0.12988304,0.17211613,0.21493478,0.28136453,0.36846772,0.42375815,0.15263073,0.12622914,0.44333869,0.2333754025,0.12836552,0.1421047,0.1648329,0.21618052,0.26925579,0.38895842,0.43497619,0.12232918
1.946,0.30003380916666667,0.36835754,0.79027146,0.12827933,0.12996951,0.17213796,0.21519847,0.28150016,0.36854354,0.42345574,0.15264687,0.12644868,0.44359645,0.23347492874999998,0.12841114,0.14215402,0.16493197,0.21628052,0.26941571,0.38910714,0.43512574,0.12237319
1.947,0.3000389725,0.3685011,0.7899155,0.1279882,0.13006911,0.1721184,0.21547651,0.2815744,0.36860192,0.42313334,0.15264073,0.1266008,0.44384766,0.23357205749999999,0.12845357,0.14219975,0.16503154,0.21637622,0.26957434,0.3892495,0.43527237,0.12241917
1.948,0.3000270375,0.3686507,0.78954571,0.12768498,0.1301785,0.17206126,0.21576251,0.28159177,0.36864656,0.42279917,0.15261932,0.12668699,0.44409698,0.23366665749999999,0.12849319,0.14224173,0.1651313,0.21646775,0.26973137,0.38938585,0.4354153,0.12246677
1.949,0.30000462333333333,0.36880112,0.78918815,0.1273834,0.13029316,0.17197201,0.21604945,0.28156069,0.36868295,0.42246112,0.15259874,0.12671278,0.44435191,0.23375875750000003,0.12853058,0.14227985,0.16523072,0.21655568,0.26988664,0.38951686,0.43555439,0.12251534
1.95,0.29997771333333334,0.36894628,0.78887129,0.12709849,0.13040778,0.17185719,0.21632974,0.28149164,0.36871761,0.42212719,0.15257777,0.12668605,0.44462153,0.23384844624999998,0.12856641,0.14231415,0.16532898,0.2166408,0.27003995,0.38964334,0.43568987,0.12256407
1.951,0.2999531941666667,0.36907992,0.78862423,0.1268457,0.13051678,0.17172381,0.21659568,0.28139618,0.36875746,0.42180526,0.15256187,0.12661582,0.44491562,0.233935945,0.12860146,0.14234483,0.16542514,0.21672413,0.27019113,0.38976613,0.43582261,0.12261213
